ticker,date,entry_time,exit_time,entry_clock,entry_price,exit_price,result,return,volume_ratio
EVC,2026-04-09,2026-04-09 15:40:00+00:00,2026-04-09 19:55:00+00:00,15:40,3.125,3.2100000381469727,WIN,0.02720001220703125,1.4301345148709241
EVC,2026-05-07,2026-05-07 13:35:00+00:00,2026-05-07 14:20:00+00:00,13:35,7.340000152587891,7.554999828338623,WIN,0.02929150834893773,5.020821898223909
EVC,2026-05-08,2026-05-08 13:40:00+00:00,2026-05-08 13:45:00+00:00,13:40,6.553199768066406,6.2779998779296875,LOSS,-0.041994735377633624,3.0546365528998414
FLNC,2026-02-23,2026-02-23 15:15:00+00:00,2026-02-23 15:50:00+00:00,15:15,15.974200248718262,15.630000114440918,LOSS,-0.021547253002851374,4.18811831758751
FLNC,2026-02-26,2026-02-26 15:15:00+00:00,2026-02-26 15:50:00+00:00,15:15,15.640000343322754,15.984999656677246,WIN,0.022058779142021187,7.794380085973017
FLNC,2026-03-03,2026-03-03 15:15:00+00:00,2026-03-03 16:00:00+00:00,15:15,14.015000343322754,14.425000190734863,WIN,0.02925435871340866,2.02719870883999
FLNC,2026-03-12,2026-03-12 15:15:00+00:00,2026-03-12 15:35:00+00:00,15:15,16.530000686645508,16.90999984741211,WIN,0.022988454021880392,1.747045003572895
FLNC,2026-04-28,2026-04-28 15:15:00+00:00,2026-04-28 19:25:00+00:00,15:15,12.114999771118164,12.359999656677246,WIN,0.020222855153753713,2.7377688892134344
FLNC,2026-05-07,2026-05-07 15:15:00+00:00,2026-05-07 15:20:00+00:00,15:15,17.635000228881836,17.280000686645508,LOSS,-0.020130396236396148,6.314687466702035
GSIT,2026-03-18,2026-03-18 13:35:00+00:00,2026-03-18 13:45:00+00:00,13:35,6.962900161743164,7.199999809265137,WIN,0.03405185224752881,3.3309009554844153
GSIT,2026-03-20,2026-03-20 13:40:00+00:00,2026-03-20 14:30:00+00:00,13:40,6.019999980926514,6.164999961853027,WIN,0.024086375645502464,1.276180537541361
GSIT,2026-03-30,2026-03-30 13:35:00+00:00,2026-03-30 13:45:00+00:00,13:35,5.0,4.885000228881836,LOSS,-0.022999954223632813,1.5505436518008466
GSIT,2026-04-17,2026-04-17 13:45:00+00:00,2026-04-17 14:25:00+00:00,13:45,6.445000171661377,6.619999885559082,WIN,0.02715278653787748,1.7978873846065495
GSIT,2026-04-27,2026-04-27 13:45:00+00:00,2026-04-27 13:50:00+00:00,13:45,7.300000190734863,7.480000019073486,WIN,0.024657510087065238,1.519338721950239
GSIT,2026-05-04,2026-05-04 13:40:00+00:00,2026-05-04 15:05:00+00:00,13:40,7.925000190734863,8.154999732971191,WIN,0.02902202355846264,2.18380880905658
GSIT,2026-05-05,2026-05-05 13:45:00+00:00,2026-05-05 15:20:00+00:00,13:45,7.629899978637695,7.809999942779541,WIN,0.023604498701960994,2.6051067434281365
